,input,input_lemma,new_target
3687,сильвио встал побледнев от злости и с сверкающими глазами сказал милостивый государь извольте выйти и благодарите бога что это случилось у меня в доме,сильвио встать побледнеть от злость и с сверкающий глаз сказать милостивый государь извольте выйти и благодарите бог что это случиться у я в дом,S C S S C S S S S C S C S C S S C S S S S S S F
3688,офицер вышел вон сказав что за обиду готов отвечать как будет угодно господину банкомету,офицер выйти вон сказать что за обида готовый отвечать как быть угодно господин банкомет,S S C C S S S S C S S S S F
3689,на другой день в манеже мы спрашивали уже жив ли еще бедный поручик как сам он явился между нами мы сделали ему тот же вопрос,на другой день в манеж мы спрашивать уже живой ли еще бедный поручик как сам он явиться между мы мы сделать он тот же вопрос,S S S S S S S C S S S S C S S S S S C S S S S S F
3690,он отвечал что об сильвио он не имел еще никакого известия,он отвечать что о сильвио он не иметь еще никакой известие,S C S S S S S S S S F
3691,мы пошли к сильвио и нашли его на дворе сажающего пулю на пулю в туза приклеенного к воротам,мы пойти к сильвио и найти он на двор сажать пуля на пуля в туз приклеить к ворота,S S S S S S S S C S S S S S C S S F
3692,он принял нас по-обыкновенному ни слова не говоря о вчерашнем происшествии,он принять мы по-обыкновенному ни слово не говорить о вчерашний происшествие,S S S C S S S S S S F
3693,прошло три дня поручик был еще жив,пройти три день поручик быть еще живой,S S C S S S F
3694,мы с удивлением спрашивали неужели сильвио не будет драться,мы с удивление спрашивать неужели сильвио не быть драться,S S S C S S S S F
3695,недостаток смелости менее всего извиняется молодыми людьми которые в храбрости обыкновенно видят верх человеческих достоинств и извинение всевозможных пороков,недостаток смелость менее весь извиняться молодой человек который в храбрость обыкновенно видеть верх человеческий достоинство и извинение всевозможный порок,S S S S S S C S S S S S S S S S S S F
3696,однако ж мало-помалу все было забыто и сильвио снова приобрел прежнее свое влияние,однако ж мало-помалу весь быть забыть и сильвио снова приобрести прежний свой влияние,S S S S S C S S S S S S F
3697,он любил меня по крайней мере со мной одним оставлял обыкновенное свое резкое злоречие и говорил о разных предметах с простодушием и необыкновенною приятностью,он любить я по крайний мера с я один оставлять обыкновенный свой резкий злоречие и говорить о разный предмет с простодушие и необыкновенный приятность,S S C S S S S S S S S S S S S S S S S S S S S F
3698,сильвио был слишком умен и опытен чтобы этого не заметить и не угадывать тому причины,сильвио быть слишком умный и опытный чтобы это не заметить и не угадывать тот причина,S S S S S C S S S S S S S S F
3699,с тех пор видался я с ним только при товарищах и прежние откровенные разговоры наши прекратились,с тот пора видаться я с он только при товарищ и прежний откровенный разговор наш прекратиться,S S S S S S S S S C S S S S S F
3700,пакеты обыкновенно тут же распечатывались новости сообщались и канцелярия представляла картину самую оживленную,пакет обыкновенно тут же распечатываться новость сообщаться и канцелярия представлять картина самый оживленный,S S S S C S C S S S S S F
3701,сильвио получал письма адресованные в наш полк и обыкновенно тут же находился,сильвио получать письмо адресовать в наш полк и обыкновенно тут же находиться,S S C S S S C S S S S F
3702,однажды подали ему пакет с которого он сорвал печать с видом величайшего нетерпения,однажды подать он пакет с который он сорвать печать с вид великий нетерпение,S S S C S S S S S S S S F
3703,пробегая письмо глаза его сверкали,пробегая письмо глаз он сверкать,S C S S F
3704,офицеры каждый занятый своими письмами ничего не заметили,офицер каждый занять свой письмо ничто не заметить,C S S S C S S F
3705,господа сказал им сильвио обстоятельства требуют немедленного моего отсутствия еду сегодня в ночь надеюсь что вы не откажетесь отобедать у меня в последний раз,господин сказать они сильвио обстоятельство требовать немедленный мой отсутствие еда сегодня в ночь надеяться что вы не отказаться отобедать у я в последний раз,C S S C S S S S C S S S C C S S S S S S S S S F
3706,я жду и вас продолжал он обратившись ко мне жду непременно,я ждать и вы продолжать он обратиться к я ждать непременно,S S S C S C S S C S F
3707,с сим словом он поспешно вышел а мы согласясь соединиться у сильвио разошлись каждый в свою сторону,с сей слово он поспешно выйти а мы согласиться соединиться у сильвио разойтись каждый в свой сторона,S S S S S C S C S S S C S S S S F
3708,все его добро было уже уложено оставались одни голые простреленные стены,весь его добро быть уже уложить оставаться один голый прострелить стена,S S S S S C S S C S F
3709,при разборе фуражек сильвио со всеми прощаясь взял меня за руку и остановил в ту самую минуту как собирался я выйти,при разбор фуражек сильвио с весь прощаясь взять я за рука и остановить в тот самый минута как собираться я выйти,S S S C S S C S S S S S S S S S C S S S F
3710,мне нужно с вами поговорить сказал он тихо,я нужный с вы поговорить сказать он тихо,S S S S C S S F
3711,гости ушли мы остались вдвоем сели друг противу друга и молча закурили трубки,гость уйти мы остаться вдвоем сесть друг противу друг и молча закурить трубка,S C S S C S S S S S S S F
3712,сильвио был озабочен не было уже и следов его судорожной веселости,сильвио быть озаботить не быть уже и след его судорожный веселость,S S C S S S S S S S F
3713,мрачная бледность сверкающие глаза и густой дым выходящий изо рту придавали ему вид настоящего дьявола,мрачный бледность сверкающий глаз и густой дым выходить из рот придавать он вид настоящий дьявол,S C S S S S C S S C S S S S F
3714,прошло несколько минут и сильвио прервал молчание,пройти несколько минута и сильвио прервать молчание,S S C S S S F
3715,может быть мы никогда больше не увидимся сказал он мне перед разлукой я хотел с вами объясниться,мочь быть мы никогда большой не увидеться сказать он я перед разлука я хотеть с вы объясниться,S C S S S S C S S C S S S S S S F
3716,вы могли заметить что я мало уважаю постороннее мнение но я вас люблю и чувствую мне было бы тягостно оставить в вашем уме несправедливое впечатление,вы мочь заметить что я мало уважать посторонний мнение но я вы любить и чувствовать я быть бы тягостный оставить в ваш ум несправедливый впечатление,S S C S S S S S C S S S S S C S S S S S S S S S F
3717,он остановился и стал набивать выгоревшую свою трубку я молчал потупя глаза,он остановиться и стать набивать выгореть свой трубка я молчать потупить глаз,S S S S S S S C S C S F
3718,вам было странно продолжал он что я не требовал удовлетворения от этого пьяного сумасброда р,вы быть странно продолжать он что я не требовать удовлетворение от этот пьяный сумасброд р,S S C S C S S S S S S S S S F
3719,если б я мог наказать р не подвергая вовсе моей жизни то я б ни за что не простил его,если б я мочь наказать р не подвергать вовсе мой жизнь тот я б ни за что не простить он,S S S S S C S S S S C S S S S S S S S F
3720,так точно я не имею права подвергать себя смерти,так точно я не иметь право подвергать себя смерть,S C S S S S S S F
3721,шесть лет тому назад я получил пощечину и враг мой еще жив,шесть год тот назад я получить пощечина и враг мой еще живой,S S S S S S C S S S S F
3722,вы с ним не дрались спросил я,вы с он не драться спросить я,S S S S C S F
3723,обстоятельства верно вас разлучили,обстоятельство верно вы разлучить,C C S F
3724,я с ним дрался отвечал сильвио и вот памятник нашего поединка,я с он драться отвечать сильвио и вот памятник наш поединок,S S S C S C S S S S F
3725,вы знаете продолжал сильвио что я служил в гусарском полку,вы знать продолжать сильвио что я служить в гусарский полк,S C S C S S S S S F
3726,характер мой вам известен я привык первенствовать но смолоду это было во мне страстию,характер мой вы известный я привыкнуть первенствовать но смолоду это быть в я страсть,S S S C S S C S S S S S S F
3727,в наше время буйство было в моде я был первым буяном по армии,в наш время буйство быть в мода я быть первый буян по армия,S S S S S S C S S S S S F
3728,мы хвастались пьянством я перепил славного бурцова воспетого денисом давыдовым,мы хвастаться пьянство я перепить славный бурцов воспеть денис давыдов,S S C S S S C S S F
3729,дуэли в нашем полку случались поминутно я на всех бывал или свидетелем или действующим лицом,дуэль в наш полк случаться поминутно я на весь бывать или свидетель или действовать лицо,S S S S S C S S S S S C S S F
3730,товарищи меня обожали а полковые командиры поминутно сменяемые смотрели на меня как на необходимое зло,товарищ я обожать а полковой командир поминутно сменяемый смотреть на я как на необходимый зло,S S C S S C S C S S C S S S F
3731,я спокойно наслаждался моею славою как определился к нам молодой человек богатой и знатной фамилии,я спокойно наслаждаться мой слава как определиться к мы молодой человек богатый и знатный фамилия,S S S S C S S S S S S S S S F
3732,обольщенный моею славою он стал было искать моего дружества но я принял его холодно и он безо всякого сожаления от меня удалился,обольстить мой славой он стать быть искать мой дружество но я принять он холодный и он без всякий сожаление от я удалиться,S S C S S S S S C S S S S C S S S S S S S F
3733,мы бросились к саблям дамы попадали в обморок нас растащили и в ту же ночь поехали мы драться,мы броситься к сабля дама попадать в обморок мы растащить и в тот же ночь поехать мы драться,S S S C S S S C S C S S S S S S S F
3734,весеннее солнце взошло и жар уже наспевал,весенний солнце взойти и жар уже наспевала,S S C S S S F
3735,он шел пешком с мундиром на сабле сопровождаемый одним секундантом,он идти пешком с мундир на сабля сопровождать один секундант,S S C S S S C S S F
3736,он приближался держа фуражку наполненную черешнями,он приближаться держа фуражка наполнить черешня,S C S C S F
3737,положили бросить жребий первый нумер достался ему вечному любимцу счастия,положить бросить жребий первый нумер достаться он вечный любимец счастие,S S C S S S C S S F
3738,жизнь его наконец была в моих руках я глядел на него жадно стараясь уловить хотя бы одну тень беспокойства,жизнь его наконец быть в мой рука я глядеть на он жадно стараться уловить хотя бы один тень беспокойство,S S S S S S C S S S S C S S S S S S F
3739,он стоял под пистолетом выбирая из фуражки спелые черешни и выплевывая косточки которые долетали до меня,он стоять под пистолет выбирать из фуражка спелый черешня и выплевывая косточка который долетать до я,S S S C S S S S S S S C S S S F
3740,что пользы мне подумал я лишить его жизни когда он ею вовсе не дорожит,что польза я подумать я лишить его жизнь когда он она вовсе не дорожить,S S C S C S S C S S S S S F
3741,вам кажется теперь не до смерти сказал я ему вы изволите завтракать мне не хочется вам помешать,вы казаться теперь не до смерть сказать я он вы изволить завтракать я не хотеться вы помешать,C C S S S C S S C S S C S S S S F
3742,я обратился к секундантам объявив что нынче стрелять не намерен и поединок тем и кончился,я обратиться к секундант объявить что нынче стрелять не намеренный и поединок тот и кончиться,S S S C C S S S S C S S S S F
3743,с тех пор не прошло ни одного дня чтобы я не думал о мщении,с тот пора не пройти ни один день чтобы я не думать о мщение,S S S S S S S C S S S S S F
3744,кто-то писал ему из москвы что известная особа скоро должна вступить в законный брак с молодой и прекрасной девушкой,кто-то писать он из москва что известный особа скоро должный вступить в законный брак с молодой и прекрасный девушка,S S S S C S S S S S S S S S S S S S F
3745,вы догадываетесь сказал сильвио кто эта известная особа,вы догадываться сказать сильвио кто этот известный особа,S C S C S S S F
3746,посмотрим так ли равнодушно примет он смерть перед своей свадьбой как некогда ждал ее за черешнями,посмотреть так ли равнодушно принять он смерть перед свой свадьба как некогда ждать она за черешня,C S S S S S S S S C S S S S S F
3747,при сих словах сильвио встал бросил об пол свою фуражку и стал ходить взад и вперед по комнате как тигр по своей клетке,при сей слово сильвио встать бросить о пол свой фуражка и стать ходить взад и вперед по комната как тигр по свой клетка,S S S S C S S S S S S S S S S S S C S S S S F
3748,я слушал его неподвижно странные противуположные чувства волновали меня,я слушать он неподвижно странный противуположный чувство волновать я,S S S C C S S S F
3749,слуга вошел и объявил что лошади готовы,слуга войти и объявить что лошадь готовый,S S S C S S F
3750,сильвио крепко сжал мне руку мы поцеловались,сильвио крепко сжать я рука мы поцеловаться,S S S S C S F
3751,он сел в тележку где лежали два чемодана один с пистолетами другой с его пожитками,он сесть в тележка где лежать два чемодан один с пистолет другой с его пожитки,S S S C S S S C S S C S S S F
3752,мы простились еще раз и лошади поскакали,мы проститься еще раз и лошадь поскакать,S S S C S S F
3753,прошло несколько лет и домашние обстоятельства принудили меня поселиться в бедной деревеньке н уезда,пройти несколько год и домашний обстоятельство принудить я поселиться в бедный деревенька н уезд,S S C S S S S S S S S S S F
3754,занимаясь хозяйством я не переставал тихонько воздыхать о прежней моей шумной и беззаботной жизни,заниматься хозяйство я не переставать тихонько воздыхать о прежний мой шумный и беззаботный жизнь,S C S S S S S S S S S S S F
3755,малое число книг найденных мною под шкафами и в кладовой были вытвержены мною наизусть,малый число книга найти я под шкаф и в кладовая быть вытвердить я наизусть,S S C S S S S S S C S S S F
3756,все сказки которые только могла запомнить ключница кириловна были мне пересказаны песни баб наводили на меня тоску,весь сказка который только мочь запомнить ключница кирилович быть я пересказать песня баба наводить на я тоска,S C S S S S S C S S C S S S S S F
3757,близких соседей около меня не было кроме двух или трех горьких коих беседа состояла большею частию в икоте и воздыханиях,близкий сосед около я не быть кроме два или три горький кой беседа состоять больший часть в икота и воздыхание,S S S S S C S S S S C S S S S S S S S F
3758,однако ж во вторую весну моего затворничества разнесся слух что графиня с мужем приедет на лето в свою деревню,однако ж в второй весна мой затворничество разнестись слух что графиня с муж приехать на лето в свой деревня,S S S S S S S S C S S S S S S S S S F
3759,в самом деле они прибыли в начале июня месяца,в сам дело они прибыть в начало июнь месяц,S S C S S S S S F
3760,лакей ввел меня в графский кабинет а сам пошел обо мне доложить,лакей ввести я в графский кабинет а сам пойти о я доложить,S S S S S C S S S S S F
3761,двери отворились и вошел мужчина лет тридцати двух прекрасный собою,дверь отворились и войти мужчина год тридцать два прекрасный себя,S C S S S S S C S F
3762,граф приблизился ко мне с видом открытым и дружелюбным я старался ободриться и начал было себя рекомендовать но он предупредил меня,граф приблизиться к я с вид открытый и дружелюбный я стараться ободриться и начать быть себя рекомендовать но он предупредить я,S S S S S S S S C S S S S S S S C S S S F
3763,в самом деле она была красавица,в сам дело она быть красавица,S S C S S F
3764,граф представил меня я хотел казаться развязным но чем больше старался взять на себя вид непринужденности тем более чувствовал себя неловким,граф представить я я хотеть казаться развязный но что большой стараться взять на себя вид непринужденность тот более чувствовать себя неловкий,S S C S S S C S S S S S S S S C S S S S F
3765,они чтобы дать мне время оправиться и привыкнуть к новому знакомству стали говорить между собою обходясь со мною как с добрым соседом и без церемонии,они чтобы дать я время оправиться и привыкнуть к новый знакомство стать говорить между себя обходясь с я как с добрый сосед и без церемония,C S S S S S S S S S C S S S C S S S S S S S S S F
3766,между тем я стал ходить взад и вперед осматривая книги и картины,между тот я стать ходить взад и вперед осматривать книга и картина,S S S S S S S C S S S F
3767,в картинах я не знаток но одна привлекла мое внимание,в картина я не знаток но один привлечь мой внимание,S S S S C S S S S F
3768,она изображала какой-то вид из швейцарии но поразила меня в ней не живопись а то что картина была прострелена двумя пулями всаженными одна на другую,она изображать какой-то вид из швейцария но поразить я в она не живопись а тот что картина быть прострелить два пуля всадить один на другой,S S S S S C S S S S S S C S C S S S S S C S S S F
3769,вот хороший выстрел сказал я обращаясь к графу,вот хороший выстрел сказать я обращаться к граф,S S C S C S S F
3770,да отвечал он выстрел очень замечательный,да отвечать он выстрел очень замечательный,C S C S S F
3771,а хорошо вы стреляете продолжал он,а хорошо вы стрелять продолжать он,S S S C S F
3772,изрядно отвечал я обрадовавшись что разговор коснулся наконец предмета мне близкого,изрядно отвечать я обрадоваться что разговор коснуться наконец предмет я близкий,C S C C S S S S C S F
3773,в тридцати шагах промаху в карту не дам разумеется из знакомых пистолетов,в тридцать шаг промах в карта не дать разуметься из знакомый пистолет,S S S S S S S C C S S F
3774,право сказала графиня с видом большой внимательности а ты мой друг попадешь ли в карту на тридцати шагах,право сказать графиня с вид большой внимательность а ты мой друг попасть ли в карта на тридцать шаг,C S C S S S C S C S C S S S S S S F
3775,когда-нибудь отвечал граф мы попробуем,когда-нибудь отвечать граф мы попробовать,C S C S F
3776,в свое время я стрелял не худо но вот уже четыре года как я не брал в руки пистолета,в свой время я стрелять не худо но вот уже четыре год как я не брать в рука пистолет,S S S S S S C S S S S C S S S S S S F
3777,о заметил я в таком случае бьюсь об заклад что ваше сиятельство не попадете в карту и в двадцати шагах пистолет требует ежедневного упражнения,о заметить я в такой случай бьюсь о заклад что ваш сиятельство не попасть в карта и в двадцать шаг пистолет требовать ежедневный упражнение,C S C S S S S S C S S S S S S S S S S C S S S F
3778,однажды случилось мне целый месяц не брать пистолета мои были в починке что же бы вы думали ваше сиятельство,однажды случиться я целый месяц не брать пистолет мой быть в починка что же бы вы думать ваш сиятельство,S S S S S S S C S S S C S S S S C S F
3779,в первый раз как стал потом стрелять я дал сряду четыре промаха по бутылке в двадцати пяти шагах,в первый раз как стать потом стрелять я дать сряду четыре промах по бутылка в двадцать пять шаг,S S C S S S C S S S S S S S S S S F
3780,у нас был ротмистр остряк забавник он тут случился и сказал мне знать у тебя брат рука не подымается на бутылку,у мы быть ротмистр остряк забавник он тут случиться и сказать я знать у ты брат рука не подыматься на бутылка,S S S C C C S S S S S C S S C C S S S S F
3781,нет ваше сиятельство не должно пренебрегать этим упражнением не то отвыкнешь как раз,нет ваш сиятельство не должный пренебрегать этот упражнение не тот отвыкнуть как раз,C S C S S S S C S S S S F
3782,лучший стрелок которого удалось мне встречать стрелял каждый день по крайней мере три раза перед обедом,хороший стрелок который удаться я встречать стрелять каждый день по крайний мера три раз перед обед,S C S S S C S S C S S S S S S F
3783,это у него было заведено как рюмка водки,это у он быть завести как рюмка водка,S S S S C S S F
3784,граф и графиня рады были что я разговорился,граф и графиня рада быть что я разговориться,S S S S C S S F
3785,а каково стрелял он спросил меня граф,а каков стрелять он спросить я граф,S S S C S S F
3786,да вот как ваше сиятельство бывало увидит он села на стену муха вы смеетесь графиня,да вот как ваш сиятельство бывать увидеть он село на стена муха вы смеяться графиня,S S C S C C S C S S S C S C F
3787,бывало увидит муху и кричит кузька пистолет,бывать увидеть муха и кричать кузька пистолет,C S S S C C F
3788,он хлоп и вдавит муху в стену,он хлоп и вдавить муха в стена,S C S S S S F
3789,это удивительно сказал граф а как его звали,это удивительно сказать граф а как он звать,S C S C S S S F
3790,сильвио ваше сиятельство,сильвио ваш сиятельство,C S F
3791,сильвио вскричал граф вскочив со своего места вы знали сильвио,сильвио вскричать граф вскочив с свой место вы знать сильвио,C S C S S S C S S F
3792,так и ваше сиятельство стало быть знали его,так и ваш сиятельство стать быть знать его,S S S C S C S F
3793,знал очень знал,знать очень знать,C S F
3794,не рассказывал ли он вам но нет не думаю не рассказывал ли он вам одного очень странного происшествия,не рассказывать ли он вы но нет не думать не рассказывать ли он вы один очень странный происшествие,S S S S S S C S C S S S S S S S S F
3795,не пощечина ли ваше сиятельство полученная им на бале от какого-то повесы,не пощечина ли ваш сиятельство получить он на бал от какой-то повеса,S S C S C S S S S S S F
3796,нет ваше сиятельство не сказывал,нет ваш сиятельство не сказывать,C S C S F
3797,ах ваше сиятельство продолжал я догадываясь об истине извините я не знал уж не вы ли,ах ваш сиятельство продолжать я догадываясь о истина извинить я не знать уж не вы ли,C S C S C S S C S S S S S S S F
3798,я сам отвечал граф с видом чрезвычайно расстроенным а простреленная картина есть памятник последней нашей встречи,я сам отвечать граф с вид чрезвычайно расстроить а прострелить картина быть памятник последний наш встреча,S C S S S S S C S S S S S S S F
3799,ах милый мой сказала графиня ради бога не рассказывай мне страшно будет слушать,ах милый мой сказать графиня ради бог не рассказывать я страшно быть слушать,C S C S C S S S C S S S F
3800,нет возразил граф я все расскажу он знает как я обидел его друга пусть же узнает как сильвио мне отомстил,нет возразить граф я весь рассказать он знать как я обидеть он друг пусть же узнавать как сильвио я отомстить,C S C S S C S C S S S S C S S C S S S F
3801,граф подвинул мне кресла и я с живейшим любопытством услышал следующий рассказ,граф подвинуть я кресло и я с живой любопытство услышать следующий рассказ,S S S C S S S S S S S F
3802,однажды вечером ездили мы вместе верхом лошадь у жены что-то заупрямилась она испугалась отдала мне поводья и пошла пешком домой я поехал вперед,однажды вечер ездить мы вместе верхом лошадь у жена что-то заупрямиться она испугаться отдать я поводья и пойти пешком домой я поехать вперед,S S S S S C S S S S C S C S S S S S S C S S F
3803,я вошел в эту комнату и увидел в темноте человека запыленного и обросшего бородой он стоял здесь у камина,я войти в этот комната и увидеть в темнота человек запыленного и обрасти борода он стоять здесь у камин,S S S S S S S S S C S S S C S S S S F
3804,я подошел к нему стараясь припомнить его черты,я подойти к он стараться припомнить его черта,S S S C S S S F
3805,ты не узнал меня граф сказал он дрожащим голосом,ты не узнать я граф сказать он дрожать голос,S S S C C S S S F
3806,сильвио закричал я и признаюсь я почувствовал как волоса стали вдруг на мне дыбом,сильвио закричать я и признаться я почувствовать как волос стать вдруг на я дыбом,C S C S C S C S S S S S S F
3807,так точно продолжал он выстрел за мною я приехал разрядить мой пистолет готов ли ты,так точно продолжать он выстрел за я я приехать разрядить мой пистолет готовый ли ты,S C S C S S C S S S S C S S F
3808,я отмерил двенадцать шагов и стал там в углу прося его выстрелить скорее пока жена не воротилась,я отмерить двенадцать шаг и стать там в угол просить он выстрелить скорый пока жена не воротиться,S S S S S S S S C S S S C S S S F
3809,он медлил он спросил огня,он медлить он спросить огонь,S C S S F
3810,я запер двери не велел никому входить и снова просил его выстрелить,я запереть дверь не велеть никто входить и снова просить он выстрелить,S S C S S S S S S S S F
3811,жалею сказал он что пистолет заряжен не черешневыми косточками пуля тяжела,жалею сказать он что пистолет зарядить не черешневыми косточка пуля тяжелый,C S C S S S S S S S F
3812,мне все кажется что у нас не дуэль а убийство я не привык целить в безоружного,я весь казаться что у мы не дуэль а убийство я не привыкнуть целить в безоружный,S S C S S S S C S C S S S S S F
3813,начнем сызнова кинем жребий кому стрелять первому,начать сызнова кинуть жребий кто стрелять первый,S C S C S S F
3814,кажется я не соглашался,казаться я не соглашаться,C S S F
3815,наконец мы зарядили еще пистолет свернули два билета он положил их в фуражку некогда мною простреленную я вынул опять первый нумер,наконец мы зарядить еще пистолет свернуть два билет он положить они в фуражка некогда я прострелить я вынуть опять первый нумер,S S S S C S S C S S S S C S S C S S S S F
3816,ты граф дьявольски счастлив сказал он с усмешкою которой никогда не забуду,ты граф дьявольски счастливый сказать он с усмешка который никогда не забыть,C C S C S S S C S S S F
3817,не понимаю что со мною было и каким образом мог он меня к тому принудить но я выстрелил и попал вот в эту картину,не понимать что с я быть и какой образ мочь он я к тот принудить но я выстрелить и попасть вот в этот картина,S C S S S S S S S S S S S S S C S C S S S S S F
3818,граф указывал пальцем на простреленную картину лицо его горело как огонь графиня была бледнее своего платка я не мог воздержаться от восклицания,граф указывать палец на прострелить картина лицо его гореть как огонь графиня быть бледнее свой платок я не мочь воздержаться от восклицание,S S S S S C S S S S C S S S S C S S S S S F
3819,я выстрелил продолжал граф и слава богу дал промах тогда сильвио,я выстрелить продолжать граф и слава бог дать промах тогда сильвио,S C S C C S C S C S F
3820,вдруг двери отворились маша вбегает и с визгом кидается мне на шею,вдруг дверь отвориться маша вбегать и с визг кидаться я на шея,S S C S S S S S S S S F
3821,милая сказал я ей разве ты не видишь что мы шутим,милый сказать я она разве ты не видеть что мы шутить,C S S C S S S C S S F
3822,поди выпей стакан воды и приди к нам я представлю тебе старинного друга и товарища,поди выпить стакан вода и прийти к мы я представить ты старинный друг и товарищ,C S S S S S S C S S S S S S F
3823,скажите правду ли муж говорит сказала она обращаясь к грозному сильвио правда ли что вы оба шутите,сказать правда ли муж говорить сказать она обращаться к грозный сильвио правда ли что вы оба шутить,C S S S C S C S S S C S C S S S F
3824,встань маша стыдно закричал я в бешенстве а вы сударь перестанете ли издеваться над бедной женщиной,встань маша стыдно закричать я в бешенство а вы сударь перестать ли издеваться над бедный женщина,C C C S S S C S C C S S S S S F
3825,не буду отвечал сильвио я доволен я видел твое смятение твою робость я заставил тебя выстрелить по мне с меня довольно,не быть отвечать сильвио я довольный я видеть твой смятение твой робость я заставить ты выстрелить по я с я довольно,S C S C S C S S S C S C S S S S S C S S F
